Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g3_n48	0.121	0.09	0.15
r_g3_n49	0.044	0.04	0.05
r_g3_n50	0.022	0.02	0.03
r_g3_n51	0.029	0.03	0.03
r_g3_n52	0.044	0.04	0.05
r_g3_n53	0.03	0.03	0.04
r_g3_n54	0.033	0.03	0.04
r_g3_n55	0.032	0.03	0.04
r_g3_n56	0.028	0.02	0.03
r_g3_n57	0.015	0.01	0.02
r_g3_n58	0.014	0.01	0.02
r_g3_n59	0.02	0.02	0.02
r_g3_n60	0.016	0.01	0.02
r_g3_n61	0.015	0.01	0.02
r_g3_n62	0.017	0.01	0.02
r_g3_n63	0.008	0.01	0.01
r_g3_n64	0.019	0.02	0.02
r_g3_n65	0.013	0.01	0.02
r_g3_n66	0.024	0.02	0.03
r_g3_n67	0.022	0.02	0.02
r_g3_n68	0.02	0.02	0.02
r_g3_n69	0.017	0.02	0.02
r_g3_n70	0.016	0.01	0.02
r_g3_n71	0.022	0.02	0.03
r_g3_n72	0.015	0.01	0.02
r_g3_n74	0.091	0.03	0.19
r_g3_n75	0.057	0.04	0.07
r_g3_n76	0.052	0.04	0.07
r_g3_n77	0.101	0.07	0.13
r_g3_n78	0.077	0.06	0.09
r_g3_n79	0.066	0.05	0.09
r_g3_n80	0.071	0.05	0.09
r_g3_n81	0.065	0.05	0.09
r_g3_n82	0.074	0.06	0.09
r_g3_n83	0.073	0.06	0.09
r_g3_n84	0.081	0.06	0.1
r_g3_n85	0.069	0.06	0.08
r_g3_n86	0.067	0.05	0.08
r_g3_n87	0.071	0.06	0.08
r_g3_n88	0.056	0.04	0.07
r_g3_n89	0.031	0.03	0.03
r_g3_n90	0.014	0.01	0.02
r_g3_n91	0.04	0.03	0.05
r_g3_n92	0.037	0.03	0.05
r_g3_n93	0.071	0.06	0.08
r_g3_n94	0.071	0.06	0.08
r_g3_n95	0.064	0.05	0.08
r_g3_n96	0.063	0.05	0.08
r_g3_n97	0.052	0.05	0.06
r_g3_n98	0.039	0.03	0.05
r_g3_n99	0.073	0.06	0.09
r_g3_n100	0.077	0.06	0.09
r_g3_n101	0.076	0.06	0.09
r_g3_n102	0.091	0.08	0.1
r_g3_n103	0.073	0.06	0.09
r_g3_n104	0.08	0.07	0.1
r_g3_n105	0.104	0.09	0.12
r_g3_n106	0.067	0.05	0.08
r_g3_n107	0.081	0.07	0.1
r_g3_n108	0.076	0.07	0.08
r_g3_n109	0.074	0.06	0.09
r_g3_n110	0.078	0.06	0.09
r_g3_n111	0.075	0.06	0.09
r_g3_n112	0.072	0.06	0.09
r_g3_n113	0.08	0.07	0.1
r_g3_n114	0.094	0.07	0.12
r_g3_n115	0.091	0.07	0.12
r_g3_n116	0.093	0.07	0.12
r_g3_n117	0.099	0.08	0.12
r_g3_n118	0.104	0.08	0.13
r_g3_n119	0.102	0.07	0.13
r_g3_n120	0.106	0.07	0.14
r_g3_n121	0.064	0.05	0.08
r_g3_n122	0.052	0.04	0.06
r_g3_n123	0.036	0.03	0.05
r_g3_n124	0.055	0.04	0.07
r_g3_n125	0.046	0.04	0.05
r_g3_n126	0.031	0.03	0.04
r_g3_n127	0.031	0.03	0.04
r_g3_n128	0.031	0.03	0.04
r_g3_n129	0.031	0.03	0.04
r_g3_n130	0.027	0.02	0.03
r_g3_n131	0.019	0.02	0.02
r_g3_n132	0.016	0.01	0.02
r_g3_n133	0.016	0.01	0.02
r_g3_n134	0.016	0.01	0.02
r_g3_n135	0.015	0.01	0.02
r_g3_n136	0.013	0.01	0.02
