Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g4_n13	0.037	0.03	0.04
r_g4_n14	0.017	0.01	0.02
r_g4_n15	0.072	0.05	0.09
r_g4_n16	0.019	0.01	0.02
r_g4_n17	0.018	0.02	0.02
r_g4_n18	0.023	0.02	0.03
r_g4_n19	0.021	0.02	0.02
r_g4_n20	0.016	0.02	0.02
r_g4_n21	0.022	0.02	0.02
r_g4_n22	0.016	0.02	0.02
r_g4_n23	0.017	0.02	0.02
r_g4_n24	0.021	0.02	0.02
r_g4_n25	0.054	0.04	0.07
r_g4_n26	0.026	0.02	0.03
r_g4_n27	0.025	0.02	0.03
r_g4_n28	0.028	0.03	0.03
r_g4_n29	0.038	0.03	0.04
r_g4_n30	0.017	0.02	0.02
r_g4_n31	0.03	0.03	0.03
r_g4_n32	0.026	0.02	0.03
r_g4_n33	0.016	0.01	0.02
r_g4_n34	0.132	0.1	0.17
r_g4_n35	0.023	0.02	0.03
r_g4_n36	0.038	0.03	0.04
r_g4_n37	0.036	0.03	0.04
r_g4_n38	0.035	0.03	0.04
r_g4_n39	0.026	0.02	0.03
r_g4_n40	0.042	0.04	0.05
r_g4_n41	0.027	0.02	0.03
r_g4_n42	0.029	0.03	0.03
r_g4_n43	0.033	0.03	0.04
r_g4_n44	0.029	0.03	0.03
r_g4_n45	0.025	0.02	0.03
r_g4_n46	0.025	0.02	0.03
r_g4_n47	0.027	0.02	0.03
r_g4_n48	0.045	0.04	0.05
r_g4_n49	0.028	0.02	0.03
r_g4_n50	0.018	0.01	0.02
r_g4_n51	0.022	0.02	0.03
r_g4_n52	0.024	0.02	0.03
r_g4_n53	0.027	0.02	0.03
r_g4_n54	0.024	0.02	0.03
r_g4_n55	0.027	0.02	0.03
r_g4_n56	0.024	0.02	0.03
r_g4_n57	0.023	0.02	0.03
r_g4_n58	0.028	0.02	0.03
r_g4_n59	0.046	0.04	0.06
r_g4_n60	0.034	0.03	0.04
r_g4_n61	0.041	0.03	0.05
r_g4_n62	0.057	0.04	0.07
r_g4_n63	0.021	0.02	0.03
r_g4_n64	0.032	0.03	0.04
r_g4_n65	0.03	0.02	0.04
r_g4_n66	0.07	0.05	0.09
r_g4_n67	0.024	0.02	0.03
r_g4_n68	0.021	0.02	0.02
r_g4_n69	0.016	0.01	0.02
r_g4_n70	0.027	0.02	0.04
r_g4_n71	0.04	0.03	0.05
r_g4_n72	0.011	0.01	0.01
r_g4_n74	0.029	0.01	0.06
r_g4_n75	0.02	0.02	0.02
r_g4_n76	0.022	0.02	0.03
r_g4_n77	0.039	0.03	0.05
r_g4_n78	0.023	0.02	0.03
r_g4_n79	0.019	0.01	0.03
r_g4_n80	0.022	0.02	0.03
