Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g4_n36	0.048	0	0.22
r_g4_n37	0.048	0	0.21
r_g4_n38	0.048	0	0.21
r_g4_n39	0.048	0	0.21
r_g4_n40	0.048	0	0.22
r_g4_n41	0.048	0	0.21
r_g4_n42	0.048	0	0.22
r_g4_n43	0.048	0	0.22
r_g4_n44	0.048	0	0.22
r_g4_n45	0.048	0	0.21
r_g4_n46	0.048	0	0.22
r_g4_n47	0.048	0	0.21
r_g4_n48	0.048	0	0.21
r_g4_n49	0.048	0	0.22
r_g4_n50	0.048	0	0.22
r_g4_n51	0.048	0	0.21
r_g4_n52	0.048	0	0.21
r_g4_n53	0.048	0	0.21
r_g4_n54	0.048	0	0.21
r_g4_n55	0.048	0	0.21
r_g4_n56	0.048	0	0.21
r_g4_n57	0.048	0	0.22
r_g4_n58	0.048	0	0.22
r_g4_n59	0.048	0	0.21
r_g4_n60	0.048	0	0.21
r_g4_n61	0.048	0	0.21
r_g4_n62	0.048	0	0.21
r_g4_n63	0.048	0	0.21
r_g4_n64	0.048	0	0.22
r_g4_n65	0.048	0	0.22
r_g4_n66	0.048	0	0.21
r_g4_n67	0.048	0	0.22
r_g4_n68	0.048	0	0.21
r_g4_n69	0.048	0	0.21
r_g4_n70	0.048	0	0.21
r_g4_n71	0.048	0	0.21
r_g4_n72	0.048	0	0.21
r_g4_n74	0.048	0	0.22
r_g4_n75	0.048	0	0.21
r_g4_n76	0.048	0	0.22
r_g4_n77	0.048	0	0.21
r_g4_n78	0.048	0	0.21
r_g4_n79	0.048	0	0.21
r_g4_n80	0.048	0	0.21
r_g4_n81	0.048	0	0.21
r_g4_n82	0.048	0	0.21
r_g4_n83	0.048	0	0.21
r_g4_n84	0.048	0	0.21
r_g4_n85	0.048	0	0.21
r_g4_n86	0.048	0	0.21
r_g4_n87	0.048	0	0.22
r_g4_n88	0.048	0	0.22
r_g4_n89	0.048	0	0.21
r_g4_n90	0.048	0	0.22
r_g4_n91	0.048	0	0.22
r_g4_n92	0.048	0	0.22
r_g4_n93	0.048	0	0.22
r_g4_n94	0.048	0	0.21
r_g4_n95	0.048	0	0.21
r_g4_n96	0.048	0	0.21
r_g4_n97	0.048	0	0.21
r_g4_n98	0.048	0	0.22
r_g4_n99	0.048	0	0.21
r_g4_n100	0.048	0	0.22
r_g4_n101	0.048	0	0.21
r_g4_n102	0.048	0	0.21
r_g4_n103	0.048	0	0.22
r_g4_n104	0.048	0	0.22
r_g4_n105	0.048	0	0.22
r_g4_n106	0.048	0	0.21
r_g4_n107	0.048	0	0.21
r_g4_n108	0.048	0	0.21
r_g4_n109	0.048	0	0.21
r_g4_n110	0.048	0	0.21
r_g4_n111	0.048	0	0.22
r_g4_n112	0.048	0	0.21
r_g4_n113	0.048	0	0.22
r_g4_n114	0.048	0	0.21
r_g4_n115	0.048	0	0.21
